DataCenterId,Name
0,central_aws
1,frankfurt_aws
2,frankfurt_google
3,ireland_aws
4,london_aws
5,london_google
6,mumbai_aws
7,mumbai_google
8,northcalifornia_aws
9,northvirginia_aws
10,northvirginia_google
11,ohio_aws
12,oregon_aws
13,oregon_google
14,paris_aws
15,saopaulo_aws
16,saopaulo_google
17,seoul_aws
18,singapore_aws
19,singapore_google
20,sydney_aws
21,sydney_google
22,tokyo_aws
23,tokyo_google
