0	0.1723	0.1911	0.0498	0.101	0.1032	0.5735	0.4071	0.2237	0.1826	0.1703	0.1317	0.1183	0.1206	0.1227
0.2163	0	0.572	0.706	0.1197	0.0896	0.2776	0.2441	0.1496	0.6994	0.1162	0.1005	0.1534	0.0909	0.1088
0.1992	0.4217	0	0.3707	0.1241	0.0984	0.0967	0.2396	0.1881	0.1801	0.1312	0.0796	0.1461	0.0745	0.1145
0.1971	0.6508	1	0	0.1017	0.0866	0.2433	0.2395	0.1541	0.844	0.1204	0.0993	0.155	0.0901	0.113
0.0888	0.1404	0.1376	0.1399	0	0.0571	0.1103	0.109	0.0986	0.1661	0.079	0.1182	0.1965	0.0956	0.0991
0.2061	0.1318	0.1355	0.1447	0.0771	0	0.2652	0.3109	0.4694	0.1709	0.1118	0.1421	0.1241	0.1391	0.1596
0.6647	0.2403	0.2405	0.3449	0.0809	0.0408	0	0.4666	0.2051	0.1954	0.1719	0.1159	0.088	0.1138	0.1571
0.3801	0.1516	0.1979	0.1788	0.0609	0.1006	0.5602	0	0.2009	0.2284	0.1244	0.094	0.0854	0.1167	0.1079
0.2393	0.1511	0.1657	0.01	0.097	0.1914	0.2083	0.258	0	0.1809	0.1417	0.1615	0.1256	0.161	0.2116
0.1646	0.6777	0.484	0.8334	0.0864	0.0682	0.229	0.1767	0.1174	0	0.1055	0.0956	0.1217	0.0938	0.1062
0.0786	0.0293	0.1143	0.0681	0	0.0628	0.1724	0.0065	0.0889	0.0581	0	0.0887	0.0766	0.081	0.095
0.1448	0.0979	0.1047	0.0998	0.1045	0.1038	0.1468	0.145	0.1571	0.102	0.0882	0	0.1965	0.1585	0.5329
0.0993	0.1417	0.1148	0.1425	0.1539	0.0884	0.1053	0.1126	0.1264	0.1567	0.0783	0.1886	0	0.1427	0.1985
0.0917	0.0871	0.0932	0.0902	0.0688	0.0693	0.1298	0.0935	0.1719	0.0946	0.0762	0.1347	0.1078	0	0.1444
0.1304	0.1015	0.1177	0.1174	0.1166	0.0928	0.1621	0.1699	0.0625	0.1124	0.0932	0.5039	0.2363	0.186	0
