0.508	0.4472	0.4892	0.4037	0.2751	0.4486	0.773	0.6761	0.525	0.4654	0.4108	0.3062	0.2484	0.2618	0.3456
0.4692	0.508	0.765	0.8453	0.4068	0.3404	0.5204	0.4906	0.3458	0.8456	0.2388	0.1794	0.3462	0.1392	0.2102
0.4934	0.6898	0.508	0.6797	0.392	0.344	0.4486	0.513	0.4152	0.5768	0.3048	0.1778	0.3217	0.1561	0.241
0.4774	0.8178	0.9942	0.508	0.397	0.3532	0.5214	0.5056	0.3883	0.922	0.256	0.1759	0.3484	0.1462	0.2271
0.2695	0.4179	0.4001	0.4132	0.508	0.184	0.298	0.2849	0.2338	0.4381	0.0807	0.3492	0.5296	0.1871	0.3677
0.5005	0.3619	0.362	0.3831	0.1936	0.508	0.5536	0.5932	0.7146	0.3948	0.2772	0.3803	0.3196	0.3612	0.4304
0.8192	0.5018	0.5206	0.5721	0.283	0.4411	0.508	0.7283	0.5028	0.4938	0.3909	0.2974	0.2116	0.2686	0.345
0.6628	0.4446	0.492	0.4754	0.2601	0.4858	0.7748	0.508	0.5097	0.4966	0.3553	0.287	0.231	0.2772	0.3352
0.535	0.3524	0.404	0.3164	0.232	0.5756	0.5042	0.5397	0.508	0.3805	0.3122	0.4063	0.3353	0.3884	0.4714
0.4564	0.8348	0.7286	0.9166	0.397	0.343	0.5104	0.4708	0.3459	0.508	0.2461	0.1842	0.3316	0.1552	0.2206
0.3166	0.1954	0.2956	0.2172	0.0422	0.2532	0.391	0.2964	0.2876	0.2205	0.508	0.1204	0.0715	0.0405	0.1511
0.3128	0.1664	0.1904	0.1732	0.3422	0.3607	0.3177	0.3124	0.4042	0.189	0.1275	0.508	0.4653	0.359	0.7286
0.2394	0.3329	0.2885	0.3392	0.508	0.2992	0.22	0.2446	0.3356	0.3491	0.0724	0.4614	0.508	0.3084	0.5057
0.2474	0.1387	0.1609	0.1462	0.1738	0.3259	0.2768	0.2644	0.3938	0.1558	0.0832	0.3813	0.2909	0.508	0.3948
0.3484	0.192	0.2425	0.2278	0.3756	0.3962	0.3475	0.3662	0.3968	0.2223	0.1398	0.7141	0.5246	0.4156	0.508
