	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
0	0.000000	0.413000	0.451084	0.395273	0.255931	0.428939	0.654416	0.592482	0.479980	0.429094	0.376972	0.280475	0.225539	0.238432	0.321862
1	0.425687	0.000000	0.646629	0.698779	0.383763	0.323539	0.464030	0.441294	0.316414	0.700408	0.216363	0.160279	0.315933	0.122135	0.189313
2	0.453509	0.603119	0.000000	0.603736	0.367897	0.325365	0.430359	0.464592	0.377684	0.540914	0.279314	0.163081	0.293019	0.142506	0.218973
3	0.437988	0.682910	0.785768	0.000000	0.377671	0.337011	0.472205	0.457325	0.357928	0.746425	0.232777	0.157112	0.317836	0.129327	0.205383
4	0.252872	0.390449	0.373190	0.385868	0.000000	0.174095	0.276859	0.264024	0.215068	0.405219	0.066122	0.326448	0.490293	0.169009	0.348969
5	0.459224	0.336263	0.335501	0.354721	0.179493	0.000000	0.499807	0.529764	0.617945	0.360884	0.255754	0.352457	0.295608	0.333992	0.398894
6	0.681320	0.453288	0.472073	0.501592	0.267975	0.434563	0.000000	0.632169	0.461703	0.454714	0.356780	0.275076	0.195144	0.246766	0.313971
7	0.584918	0.414733	0.452401	0.439853	0.249363	0.466750	0.659003	0.000000	0.469500	0.450583	0.331208	0.269252	0.215129	0.254757	0.314623
8	0.486639	0.322664	0.371234	0.316409	0.213644	0.537413	0.462497	0.487462	0.000000	0.344502	0.284460	0.374392	0.310930	0.356557	0.428880
9	0.423877	0.694286	0.628787	0.743281	0.380831	0.330670	0.464300	0.435723	0.323255	0.000000	0.225952	0.166211	0.308117	0.137599	0.200298
10	0.302167	0.191363	0.273668	0.204907	0.044217	0.242028	0.356805	0.297045	0.271037	0.210342	0.000000	0.103796	0.057462	0.025521	0.133163
11	0.284390	0.147805	0.170435	0.154304	0.322279	0.340953	0.288874	0.284015	0.373172	0.169668	0.111030	0.000000	0.426033	0.327718	0.618527
12	0.220578	0.305211	0.266416	0.311355	0.477751	0.282739	0.199951	0.223021	0.311097	0.318218	0.057931	0.423743	0.000000	0.280399	0.466075
13	0.230155	0.122418	0.143384	0.129335	0.161329	0.313329	0.251497	0.246822	0.359657	0.137890	0.069194	0.355101	0.270296	0.000000	0.366508
14	0.323030	0.172669	0.219817	0.205129	0.353117	0.378725	0.315466	0.332574	0.385788	0.200729	0.122248	0.610101	0.477015	0.378546	0.000000
