0	0.9819	0.91	0.898	0.6504	0.09	0.7131	0.7101	0.5321	0.5769	0.3878	0.4063	0.5298	0.207	0.2496	0.2608	0.3482	0.3426
0.9628	0	0.8951	0.9352	0.3598	0.0925	0.7051	0.7081	0.5738	0.5768	0.3998	0.4035	0.227	0.2325	0.2587	0.2647	0.3666	0.3788
0.9073	0.8993	0	0.9979	0.648	0.0995	0.7398	0.738	0.5957	0.6055	0.412	0.4315	0.5322	0.2539	0.2612	0.288	0.3718	0.4026
0.8803	0.8854	0.9871	0	0.3593	0.1195	0.7351	0.7381	0.5959	0.6058	0.4275	0.4303	0.2533	0.2585	0.285	0.292	0.3909	0.4022
0.6525	0.363	0.6455	0.3613	0	0.9885	0.4856	0.358	0.393	0.3632	0.166	0.0701	0.7873	0.7744	0.3215	0.5428	0.6039	0.6184
0.0863	0.0945	0.1164	0.1181	0.9772	0	0.2677	0.2818	0.3887	0.4257	0.0153	0.0171	0.7726	0.7759	0.551	0.5645	0.6026	0.6152
0.7112	0.7084	0.7451	0.7403	0.4835	0.2648	0	0.9897	0.7387	0.7643	0.5867	0.6081	0.3658	0.4118	0.4368	0.4501	0.5252	0.5508
0.7027	0.7044	0.7347	0.73	0.3546	0.2809	0.9769	0	0.7629	0.7777	0.599	0.6032	0.4122	0.4214	0.4441	0.4588	0.5508	0.569
0.5413	0.5785	0.5885	0.6019	0.3914	0.3909	0.7387	0.7692	0	0.9052	0.4849	0.4726	0.5332	0.5316	0.5908	0.5198	0.6843	0.6779
0.5718	0.5762	0.5995	0.603	0.3599	0.4212	0.7587	0.7645	0.8922	0	0.5022	0.504	0.5557	0.5633	0.5277	0.5396	0.6942	0.7007
0.3836	0.4041	0.3892	0.4309	0.1634	0.0057	0.5865	0.604	0.4851	0.5064	0	0.9763	0.1533	0.1602	0.1013	0.2001	0.2652	0.2983
0.4039	0.408	0.4304	0.4369	0.0677	0.0211	0.6046	0.6158	0.4692	0.5135	0.9305	0	0.1534	0.1587	0.1934	0.1998	0.292	0.3042
0.5176	0.2282	0.527	0.2514	0.7847	0.771	0.3664	0.4157	0.5331	0.5558	0.1534	0.1543	0	0.9799	0.4782	0.6921	0.7483	0.7517
0.2272	0.2296	0.2302	0.2622	0.7772	0.775	0.4078	0.4225	0.526	0.5665	0.157	0.155	0.9438	0	0.6904	0.7109	0.7395	0.753
0.2515	0.264	0.2612	0.2898	0.3202	0.5585	0.4378	0.452	0.5913	0.5329	0.172	0.1964	0.4762	0.6977	0	0.9924	0.6132	0.6447
0.2607	0.2601	0.2862	0.2872	0.5487	0.5569	0.443	0.4515	0.5155	0.5395	0.1945	0.1942	0.6965	0.7024	0.9304	0	0.6491	0.6414
0.3249	0.3724	0.3696	0.3994	0.6033	0.5968	0.5256	0.5564	0.6766	0.6994	0.2488	0.2986	0.7503	0.7489	0.6153	0.6561	0	0.9564
0.3524	0.3782	0.3994	0.4089	0.6192	0.615	0.5531	0.5691	0.6734	0.7129	0.3006	0.3004	0.7563	0.7654	0.638	0.6554	0.9222	0
