0	0.9397	0.7697	0.7273	0.498	0.0818	0.5658	0.5492	0.4144	0.4431	0.303	0.3117	0.4132	0.1672	0.1972	0.2047	0.2727	0.2668
0.876	0	0.7226	0.8621	0.2688	0.078	0.5373	0.5427	0.4331	0.4495	0.2989	0.3021	0.1772	0.1886	0.1933	0.2114	0.2733	0.2993
0.7602	0.7367	0	0.9985	0.4938	0.0898	0.5809	0.5704	0.4621	0.4672	0.3215	0.3355	0.4152	0.2043	0.2057	0.2286	0.2907	0.3153
0.6681	0.6854	0.9615	0	0.2686	0.1018	0.5631	0.5677	0.4513	0.4676	0.3198	0.3227	0.1981	0.2086	0.2127	0.234	0.2915	0.3086
0.5024	0.2795	0.4971	0.28	0	0.9677	0.3747	0.2778	0.3044	0.2809	0.1337	0.0635	0.6098	0.5953	0.2511	0.4146	0.4607	0.4733
0.0691	0.0844	0.091	0.1024	0.943	0	0.2033	0.2264	0.2936	0.3385	0.0153	0.0154	0.6044	0.6063	0.4112	0.4503	0.4498	0.4693
0.5593	0.5494	0.5986	0.5807	0.3691	0.2122	0	0.9678	0.575	0.603	0.4578	0.47	0.2829	0.326	0.3389	0.3536	0.4103	0.4295
0.5243	0.5305	0.5635	0.554	0.2656	0.2257	0.924	0	0.5894	0.624	0.448	0.4506	0.3164	0.3353	0.3326	0.364	0.4113	0.4544
0.4214	0.4498	0.4373	0.4663	0.303	0.3056	0.5754	0.6085	0	0.762	0.3784	0.3687	0.4119	0.4158	0.4594	0.404	0.5355	0.5266
0.4273	0.4456	0.4521	0.458	0.2692	0.3259	0.5845	0.5846	0.7189	0	0.376	0.3767	0.4275	0.4404	0.3949	0.4268	0.5195	0.528
0.2881	0.3128	0.2975	0.331	0.1211	0.0189	0.4578	0.4652	0.3713	0.3897	0	0.9328	0.1239	0.1291	0.086	0.1596	0.2093	0.233
0.3039	0.3179	0.3246	0.3467	0.0547	0.0279	0.4609	0.4936	0.3546	0.4089	0.7869	0	0.1213	0.1302	0.1458	0.1636	0.2186	0.2386
0.4026	0.1802	0.4097	0.1976	0.6021	0.5999	0.2857	0.3223	0.412	0.4271	0.1242	0.1244	0	0.9358	0.3735	0.529	0.5811	0.5803
0.1771	0.1791	0.1748	0.2098	0.6048	0.6033	0.3099	0.3361	0.4009	0.4512	0.1186	0.1171	0.832	0	0.5162	0.5805	0.5538	0.5748
0.1981	0.2106	0.2057	0.2289	0.2465	0.4365	0.3419	0.3533	0.4612	0.4122	0.1377	0.1583	0.3674	0.5398	0	0.9778	0.4737	0.5003
0.2039	0.1962	0.2168	0.219	0.4104	0.4249	0.3351	0.3471	0.3898	0.4216	0.1463	0.1455	0.5437	0.5525	0.7764	0	0.4851	0.4824
0.2544	0.2922	0.2897	0.3122	0.4627	0.4618	0.4113	0.4298	0.5097	0.5403	0.1969	0.2392	0.5877	0.5828	0.481	0.5083	0	0.8647
0.2697	0.2961	0.304	0.3252	0.4757	0.4732	0.4233	0.4536	0.5135	0.5694	0.2251	0.2258	0.5942	0.6189	0.4767	0.5287	0.7544	0
